No.,ハングル,日本語意味,alphabet(読み方)
868,스트레스,ストレス,seuteureseu
869,스페인어,スペイン語,seupeineo
870,스포츠,スポーツ,seupocheu
871,슬퍼하다,悲しむ,seulpeohada
872,슬프다,悲しい,seulpeuda
873,습관,習慣、くせ,seupgwan
874,시,市、時,si
875,시간,時間,sigan
876,시간표,時間表、時刻表,siganpyo
877,시계,時計,sigye
878,시골,いなか,sigol
879,시끄럽다,うるさい,sikkeureopda
880,시내,市内、小川,sinae
881,시다,酸っぱい,sida
882,시디,CD,sidi
883,시민,市民,simin
884,시설,施設,siseol
885,시외,市外,sioe
886,시원하다,涼しい、爽快だ,siwonhada
887,시월,１０月,siwol
888,시작,始まり,sijak
889,시작되다,始まる,sijakdoeda
890,시작하다,始める,sijakhada
891,시장,市場,sijang
892,시청,市役所,sicheong
893,시키다,～させる、注文する,sikida
894,시험,試験,siheom
895,식당,食堂,sikdang
896,식사,食事,siksa
897,식탁,食卓,siktak
898,신,新、神,sin
899,신다,履く,sinda
900,신문,新聞,sinmun
901,신발,履物、靴,sinbal
902,신청서,申請書,sincheongseo
903,신청하다,申請する,sincheonghada
904,실례,失礼,sillye
905,실례하다,失礼する,sillyehada
906,실수,失敗、ミス,silsu
907,싫다,嫌いだ,silda
908,싫어하다,嫌う,silheohada
909,심하다,ひどい,simhada
910,십,10,sip
911,십이월,１２月,sibiwol
912,십일월,１１月,sibilwol
913,싱겁다,薄い,singgeopda
914,싶다,～したい,sipda
915,싸다,包む、安い,ssada
916,싸우다,けんかする、争う,ssauda
917,쌀,米,ssal
918,쌀밥,米飯、ごはん,ssalbap
919,쌓이다,積もる,ssahida
920,썰다,切る,sseolda
921,쓰기,書くこと、書き取り,sseugi
922,쓰다,書く、使う、めがねをかける,sseuda
923,쓰레기,ごみ,sseuregi
924,쓰이다,使われる、使える,sseuida
925,씨,～氏,ssi
926,씩,～ずつ,ssik
927,씹다,噛む,ssipda
928,씻다,洗う,ssitda
929,아가씨,お嬢さん,agassi
930,아기,赤ちゃん、幼児,agi
931,아까,さっき,akka
932,아내,妻,anae
933,아뇨,いいえ,anyo
934,아니다,～でない,anida
935,아니오,いいえ,anio
936,아니요,いいえ,aniyo
937,아들,息子,adeul
938,아랍어,アラビア語,arabeo
939,아래,下,arae
940,아름답다,美しい,areumdapda
941,아마,多分、おそらく,ama
942,아무,何、誰,amu
943,아버님,お父様,abeonim
944,아버지,父,abeoji
945,아빠,パパ,appa
946,아시아,アジア,asia
947,아이,子供,ai
948,아이스크림,アイスクリーム,aiseukeurim
949,아저씨,おじさん,ajeossi
950,아주,とても、完全に,aju
951,아주머니,おばさん,ajumeoni
952,아줌마,おばさん,ajumma
953,아직,まだ、いまだに,ajik
954,아침,朝、朝食,achim
955,아침밥,朝ご飯,achimbap
956,아침식사,朝食,achimsiksa
957,아파트,アパート、マンション,apateu
958,아프다,痛い、病気だ,apeuda
959,아프리카,アフリカ,apeurika
960,아홉,9,ahop
961,아흔,90,aheun
962,악기,楽器,akgi
963,안,～しない、中,an
964,안경,眼鏡,angyeong
965,안내하다,案内する,annaehada
966,안녕하세요,こんにちは,annyeonghaseyo
967,안녕하십니까,こんにちは,annyeonghasipnikka
968,안다,抱く,anda
969,안전하다,安全だ,anjeonhada
970,앉다,座る,anda
971,알다,知る、分かる,alda
972,알리다,知らせる,allida
973,알맞다,ふさわしい、適当だ,almatda
974,알았습니다,わかりました,aratseupnida
975,앞,前,ap
976,애,子供,ae
977,액세서리,アクセサリ,aekseseori
978,야구,野球,yagu
979,야채,野菜,yachae
980,약,約～、薬,yak
981,약간,若干、少し,yakgan
982,약국,薬局,yakguk
983,약사,薬剤師,yaksa
984,약속,約束,yaksok
985,얇다,薄い,yapda
986,양,量,yang
987,양말,靴下,yangmal
988,양복,スーツ、背広,yangbok
989,양식,洋食,yangsik
990,양파,たまねぎ,yangpa
991,얘기하다,話す,yaegihada
992,어깨,肩,eokkae
993,어느,どの～,eoneu
994,어둡다,暗い,eodupda
995,어디,どこ,eodi
996,어떤,どんな,eotteon
997,어떻게,どのように,eotteotge
998,어떻다,どうだ,eotteotda
999,어떻습니까,どうですか,eotteotseupnikka
1000,어렵다,難しい,eoryeopda
1001,어른,大人,eoreun
1002,어리다,幼い,eorida
1003,어린이,子供,eorini
1004,어머,まあ、おや,eomeo
1005,어머니,母,eomeoni
1006,어머님,お母様,eomeonim
1007,어서,はやく,eoseo
1008,어울리다,似合う、仲良く付き合う,eoullida
1009,어저께,昨日,eojeokke
1010,어제,きのう,eoje
1011,어젯밤,昨夜,eojetbam
1012,언니,姉,eonni
1013,언제,いつ,eonje
1014,언제나,いつも、いつでも,eonjena
1015,얼굴,顔,eolgul
1016,얼마나,いくらほど、どのくらい,eolmana
1017,얼음,氷,eoreum
1018,엄마,ママ,eomma
1019,없다,ない、いない,eopda
1020,없이,～なしで,eopsi
1021,에어컨,エアコン、クーラー,eeokeon
1022,엔,円,en
1023,엘리베이터,エレベーター,ellibeiteo
1024,여권,旅券、パスポート,yeogwon
1025,여기,ここ,yeogi
1026,여기저기,あちこち,yeogijeogi
1027,여덟,8,yeodeop
1028,여동생,妹,yeodongsaeng
1029,여든,80,yeodeun
1030,여러,多くの,yeoreo
1031,여러가지,いろいろ,yeoreogaji
1032,여러분,皆様,yeoreobun
1033,여름,夏,yeoreum
1034,여보세요,もしもし,yeoboseyo
1035,여섯,6,yeoseot
1036,여자,女性,yeoja
1037,여학생,女子学生,yeohaksaeng
1038,여행,旅行,yeohaeng
1039,여행사,旅行社,yeohaengsa
1040,역,駅,yeok
1041,역사,歴史,yeoksa
1042,연락처,連絡先,yeollakcheo
1043,연세,お歳,yeonse
1044,연습,練習,yeonseup
1045,연습하다,練習する,yeonseuphada
1046,연예인,芸能人,yeonyein
1047,연필,鉛筆,yeonpil
1048,연휴,連休,yeonhyu
1049,열,熱、10,yeol
1050,열다,開く、開ける,yeolda
1051,열리다,開く、開かれる,yeollida
1052,열쇠,鍵,yeolsoe
1053,열심히,熱心に、懸命に,yeolsimhi
1054,열차,列車,yeolcha
1055,엽서,はがき,yeopseo
1056,영,ゼロ,yeong
1057,영국,英国、イギリス,yeongguk
1058,영상,映像,yeongsang
1059,영어,英語,yeongeo
1060,영어회화,英会話,yeongeohoehwa
1061,영하,零下、氷点下,yeongha
1062,영화,映画,yeonghwa
1063,영화관,映画館,yeonghwagwan
1064,영화배우,映画俳優,yeonghwabaeu
1065,영화표,映画のチケット,yeonghwapyo
1066,옆,横,yeop
1067,예,はい,ye
1068,예문,例文,yemun
1069,예쁘다,きれいだ,yeppeuda
1070,예순,60,yesun
1071,예약,予約,yeyak
1072,옛날,昔,yetnal
1073,오,5,o
1074,오늘,きょう,oneul
1075,오다,来る,oda
1076,오래,長く、ずっと,orae
1077,오래간만,久しぶり,oraeganman
1078,오래간만입니다,お久しぶりです,oraeganmanipnida
1079,오랜만,久しぶり,oraenman
1080,오랜만에,久しぶりに,oraenmane
1081,오랫동안,長い間,oraetdongan
1082,오렌지,オレンジ,orenji
1083,오르다,上る、登る,oreuda
1084,오른쪽,右、右側,oreunjjok
1085,오리,あひる、鴨,ori
1086,오빠,兄,oppa
1087,오십,50,osip
1088,오월,５月,owol
1089,오이,きゅうり,oi
1090,오전,午前,ojeon
1091,오징어,いか,ojingeo
1092,오후,午後,ohu
1093,올라가다,上って行く,ollagada
1094,올라오다,上って来る,ollaoda
1095,올려놓다,乗せる,ollyeonotda
1096,올림픽,オリンピック,ollimpik
1097,올해,今年,olhae
1098,옮기다,移す、翻訳する,omgida
1099,옷,服,ot
1100,옷가게,服屋、衣服店、洋服店,otgage
1101,옷장,洋服だんす,otjang
1102,와이셔츠,ワイシャツ,waisyeocheu
1103,왜,なぜ、どうして,wae
1104,왜냐하면,なぜかというと、なぜならば,waenyahamyeon
1105,외국,外国,oeguk
1106,외국어,外国語,oegugeo
1107,외국인,外国人,oegugin
1108,외롭다,さびしい、心細い,oeropda
1109,외삼촌,おじ,oesamchon
1110,외숙모,おば,oesukmo
1111,외출하다,外出する,oechulhada
1112,외할머니,祖母,oehalmeoni
1113,외할아버지,祖父,oeharabeoji
1114,왼쪽,左、左側,oenjjok
1115,요금,料金,yogeum
1116,요르단,ヨルダン,yoreudan
1117,요리,料理,yori
1118,요일,曜日,yoil
1119,요즘,この頃、近ごろ,yojeum
1120,우리,我々,uri
1121,우리나라,韓国、わが国,urinara
1122,우산,雨傘、傘,usan
1123,우선,まず、最初に,useon
1124,우유,牛乳,uyu
1125,우체국,郵便局,ucheguk
1126,우표,切手,upyo
1127,운동,運動,undong
1128,운동복,体操服,undongbok
1129,운동선수,スポーツ選手,undongseonsu
1130,운동장,運動場,undongjang
1131,운동하다,運動する、スポーツする,undonghada
1132,운동화,運動靴,undonghwa
1133,운전하다,運転する,unjeonhada
1134,울다,泣く、鳴く、鳴る,ulda
1135,울리다,泣かせる、鳴かせる、鳴らす,ullida
1136,움직이다,動く,umjigida
1137,웃기다,笑わせる,utgida
1138,웃다,笑う,utda
1139,원,ウォン,won
1140,원피스,ワンピース,wonpiseu
1141,원하다,願う、望む,wonhada
1142,월,～ヶ月,wol
1143,월급,月給、給料,wolgeup
1144,월드컵,ワールドカップ,woldeukeop
1145,월세,家賃、賃料,wolse
1146,월요일,月曜日,woryoil
1147,웬일,何事、どうしたこと,wenil
1148,위,上,wi
1149,위치,位置,wichi
1150,위하다,する,wihada
1151,위험하다,危険だ,wiheomhada
1152,유럽,ヨーロッパ,yureop
1153,유리,ガラス,yuri
1154,유명하다,有名だ,yumyeonghada
1155,유월,６月,yuwol
1156,유학,留学,yuhak
1157,유학생,留学生,yuhaksaeng
1158,유행,流行,yuhaeng
1159,육,6,yuk
1160,육십,60,yuksip
1161,은행,銀行,eunhaeng
1162,은행원,銀行員,eunhaengwon
1163,음료수,飲料水、清涼飲料水、ジュース,eumryosu
1164,음반,音盤,eumban
1165,음식,食べ物、料理,eumsik
1166,음악,音楽,eumak
1167,음악가,音楽家,eumakga
1168,응,うん,eung
1169,의미,意味,uimi
1170,의사,医者,uisa
1171,의자,いす,uija
1172,이,歯、この、２,i
1173,이거,これ,igeo
1174,이것,これ,igeot
1175,이곳,ここ,igot
1176,이따가,後で、後ほど,ittaga
1177,이런,こんな～,ireon
1178,이렇게,こんなに、このように,ireotge
1179,이렇다,こうだ,ireotda
1180,이름,名前,ireum
1181,이메일,ｅメール、電子メール,imeil
1182,이모,おば,imo
1183,이모부,おじ,imobu
1184,이번,今回、こんど,ibeon
1185,이분,この方,ibun
1186,이사,引っ越し,isa
1187,이상,以上,isang
1188,이상하다,おかしい、変だ,isanghada
1189,이십,20,isip
1190,이야기,話、物語,iyagi
1191,이야기하다,話す,iyagihada
1192,이용,利用,iyong
1193,이용하다,利用する,iyonghada
1194,이월,２月,iwol
1195,이유,理由,iyu
1196,이제,いまや、もう,ije
1197,이집트,エジプト,ijipteu
1198,이쪽,こちら、この方,ijjok
1199,이틀,２日、２日間,iteul
1200,이해,理解,ihae
1201,이해하다,理解する,ihaehada
1202,인,～人,in
1203,인구,人口,ingu
1204,인기,人気,ingi
1205,인기스타,人気スター,ingiseuta
1206,인도,インド,indo
1207,인사,挨拶,insa
1208,인사하다,挨拶する,insahada
1209,인삼,人参、高麗人参,insam
1210,인상,印象,insang
1211,인천,インチョン,incheon
1212,인터넷,インターネット,inteonet
1213,인터뷰하다,インタビューする,inteobyuhada
1214,인형,人形,inhyeong
1215,일,1、日,il
1216,일곱,7,ilgop
1217,일기,日記,ilgi
1218,일기예보,天気予報,ilgiyebo
1219,일본,日本,ilbon
1220,일본드라마,日本のドラマ,ilbondeurama
1221,일본말,日本語,ilbonmal
1222,일본사람,日本人,ilbonsaram
1223,일본어,日本語,ilboneo
1224,일본요리,日本料理,ilbonyori
1225,일상생활,日常生活,ilsangsaenghwal
1226,일식,日本料理,ilsik
1227,일어나다,起きる、立つ、起こる,ireonada
1228,일어서다,立ち上がる,ireoseoda
1229,일요일,日曜日,iryoil
1230,일월,１月,irwol
1231,일주일,１週間,iljuil
1232,일찍,はやく,iljjik
1233,일하다,働く,ilhada
1234,일흔,70,ilheun
1235,읽기,読むこと、読解,ikgi
1236,읽다,読む,ikda
1237,잃다,失う,ilda
1238,잃어버리다,失くしてしまう,ilheobeorida
1239,입,口,ip
1240,입구,入り口,ipgu
1241,입다,着る,ipda
1242,입원하다,入院する,ibwonhada
1243,입학,入学,iphak
1244,있다,ある、いる,itda
1245,잊다,忘れる,itda
1246,잊어버리다,忘れる、忘れてしまう,ijeobeorida
1247,자,さあ,ja
1248,자기,自己、自分,jagi
1249,자다,寝る,jada
1250,자동차,自動車、車,jadongcha
1251,자동차회사,自動車会社,jadongchahoesa
1252,자료,資料,jaryo
1253,자르다,切る,jareuda
1254,자리,座席、場所,jari
1255,자신,自身,jasin
1256,자연,自然,jayeon
1257,자유,自由,jayu
1258,자장면,ジャージャー麺,jajangmyeon
1259,자전거,自転車,jajeongeo
1260,자주,たびたび、しょっちゅう,jaju
1261,작년,昨年,jaknyeon
1262,작다,小さい,jakda
1263,작은아버지,おじ,jageunabeoji
1264,작은어머니,おば,jageuneomeoni
1265,잔,～杯,jan
1266,잔치,パーティ、祝宴,janchi
1267,잘,よく、上手に,jal
1268,잘못,間違って,jalmot
1269,잘생기다,ハンサムだ,jalsaenggida
1270,잘하다,上手だ,jalhada
1271,잠,寝ること、睡眠,jam
1272,잠깐,しばらく、ちょっと,jamkkan
1273,잠시,しばらく、ちょっと,jamsi
1274,잠자다,寝る、眠る,jamjada
1275,잡다,つかむ、握る,japda
1276,잡수시다,召し上がる,japsusida
1277,잡지,雑誌,japji
1278,장,～枚,jang
1279,장갑,手袋,janggap
1280,장마,梅雨,jangma
1281,장마철,梅雨時,jangmacheol
1282,장미,バラ,jangmi
1283,장소,場所,jangso
1284,장점,長所,jangjeom
1285,재료,材料,jaeryo
1286,재미없다,面白くない,jaemieopda
1287,재미있다,面白い,jaemiitda
1288,재킷,ジャケット,jaekit
1289,저,あの,jeo
1290,저거,あれ,jeogeo
1291,저것,あれ,jeogeot
1292,저곳,あそこ,jeogot
1293,저기,あそこ,jeogi
1294,저녁,夕方、夜、夕ご飯,jeonyeok
1295,저녁식사,夕食,jeonyeoksiksa
1296,저렇게,あのように,jeoreotge
1297,저분,あの方,jeobun
1298,저쪽,あちら、あの方,jeojjok
1299,저희,私ども,jeohui
1300,적,的,jeok
1301,적다,少ない、記す,jeokda
1302,전,全、前,jeon
1303,전공,専攻,jeongong
1304,전기자동차,電気自動車,jeongijadongcha
1305,전자사전,電子辞書,jeonjasajeon
1306,전하다,伝える,jeonhada
1307,전혀,まったく、全然,jeonhyeo
1308,전화,電話,jeonhwa
1309,전화기,電話機,jeonhwagi
1310,전화번호,電話番号,jeonhwabeonho
1311,절,寺,jeol
1312,절대,絶対,jeoldae
1313,젊다,若い,jeomda
1314,점,点,jeom
1315,점수,点数,jeomsu
1316,점심,昼食、昼ごはん,jeomsim
1317,점심시간,昼食時間,jeomsimsigan
1318,점심식사,昼食,jeomsimsiksa
1319,점원,店員,jeomwon
1320,점퍼,ジャンパー,jeompeo
1321,젓가락,箸,jeotgarak
1322,정거장,停車場、駅,jeonggeojang
1323,정도,程度,jeongdo
1324,정류장,停留所、バス停,jeongryujang
1325,정리하다,整理する,jeongrihada
1326,정말,本当に,jeongmal
1327,정문,正門,jeongmun
1328,정보,情報,jeongbo
1329,정하다,定める,jeonghada
1330,제가,私が,jega
1331,제목,題名、タイトル,jemok
1332,제일,いちばん、最も,jeil
1333,제주도,済州島,jejudo
1334,조금,少し,jogeum
1335,조사하다,調査する,josahada
1336,조선,朝鮮,joseon
1337,조선말,朝鮮語,joseonmal
1338,조선어,朝鮮語,joseoneo
1339,조심하다,注意する,josimhada
1340,조용하다,静かだ,joyonghada
1341,조용히,静かに,joyonghi
1342,조카,甥,joka
1343,졸업,卒業,joreop
1344,졸업하다,卒業する,joreophada
1345,좀,ちょっと、すこし,jom
1346,좀더,もう少し、もうちょっと,jomdeo
1347,좁다,狭い,jopda
1348,종로,鍾路,jongro
1349,종류,種類,jongryu
1350,종업원,従業員,jongeopwon
1351,종이,紙,jongi
1352,종일,終日、一日中,jongil
1353,좋다,良い、好きだ,jotda
1354,좋아하다,好む、好きだ,johahada
1355,죄송하다,申し訳ない,joesonghada
1356,주,週,ju
1357,주다,あげる、くれる,juda
1358,주로,主に,juro
1359,주말,週末,jumal
1360,주머니,ポケット、小袋,jumeoni
1361,주무시다,お休みになる,jumusida
1362,주문하다,注文する,jumunhada
1363,주변,周辺、周り,jubyeon
1364,주부,主婦,jubu
1365,주사,注射,jusa
1366,주소,住所,juso
1367,주스,ジュース,juseu
1368,주위,周囲、周り,juwi
1369,주인,主人、持ち主,juin
1370,주차장,駐車場,juchajang
1371,주차하다,駐車する,juchahada
1372,주황색,オレンジ色,juhwangsaek
1373,죽,おかゆ,juk
1374,죽다,死ぬ,jukda
1375,준비,用意、準備,junbi
1376,준비하다,準備する,junbihada
1377,줄,列、線、ひも,jul
1378,줄다,減る,julda
1379,중,中,jung
1380,중국,中国,jungguk
1381,중국어,中国語,junggugeo
1382,중국집,中華料理店,junggukjip
1383,중식,中国料理,jungsik
1384,중심,中心,jungsim
1385,중요,重要,jungyo
1386,중요하다,重要だ,jungyohada
1387,중학교,中学校,junghakgyo
1388,중학생,中学生,junghaksaeng
1389,즐거워하다,楽しがる,jeulgeowohada
1390,즐겁다,楽しい,jeulgeopda
1391,즐기다,楽しむ,jeulgida
1392,증세,病状,jeungse
1393,지각,遅刻,jigak
1394,지갑,財布,jigap
1395,지금,今,jigeum
1396,지나다,過ぎる、経つ,jinada
1397,지난달,先月,jinandal
1398,지난번,前回,jinanbeon
1399,지난주,先週,jinanju
1400,지내다,過ごす、暮らす,jinaeda
1401,지다,負ける,jida
1402,지도,地図,jido
1403,지방,地方,jibang
1404,지우개,消しゴム、黒板消し,jiugae
1405,지키다,守る,jikida
1406,지하,地下,jiha
1407,지하도,地下道,jihado
1408,지하철,地下鉄,jihacheol
1409,지하철역,地下鉄の駅,jihacheoryeok
1410,직업,職業,jigeop
1411,직원,職員,jigwon
1412,직장,職場,jikjang
1413,직접,直接,jikjeop
1414,진달래,ツツジ,jindallae
1415,질,質,jil
1416,질문,質問,jilmun
1417,질문하다,質問する,jilmunhada
1418,짐,荷物,jim
1419,집,家、店,jip
1420,짓다,作る,jitda
1421,짜다,組み立てる,jjada
1422,짜리,価値があるもの,jjari
1423,짧다,短い,jjapda
1424,쪽,ページ,jjok
1425,쯤,～ごろ,jjeum
1426,찌개,チゲ,jjigae
1427,찍다,撮る、押す,jjikda
1428,차,車、茶,cha
1429,차갑다,冷たい,chagapda
1430,차다,蹴る,chada
1431,차리다,準備する,charida
1432,착하다,善良だ、やさしい,chakhada
1433,참,本当に、非常に,cham
1434,창문,窓,changmun
1435,찾다,探す、おろす、訪ねる,chatda
1436,찾아가다,行く,chajagada
1437,찾아오다,来る,chajaoda
1438,채소,野菜,chaeso
1439,책,本,chaek
1440,책방,本屋,chaekbang
1441,책상,机,chaeksang
1442,책임,責任,chaegim
1443,책장,本棚,chaekjang
1444,처음,最初、初めて,cheoeum
1445,처음,뵙겠습니다 はじめまして,cheoeum
1446,천,1000,cheon
1447,천천히,ゆっくり,cheoncheonhi
1448,철,季節、旬,cheol
1449,첫,初～、初めての～,cheot
1450,첫째,最初の～、第１の～,cheotjjae
1451,청바지,ジーパン,cheongbaji
1452,청소기,掃除機,cheongsogi
1453,청소하다,掃除する,cheongsohada
1454,초,秒,cho
1455,초대하다,招待する,chodaehada
1456,초등학교,小学校,chodeunghakgyo
1457,초등학생,小学生,chodeunghaksaeng
1458,초록색,緑色,choroksaek
1459,초콜릿,チョコレート,chokollit
1460,촬영하다,撮影する,chwaryeonghada
1461,최고,最高,choego
1462,추다,踊る,chuda
1463,추석,チュソク、旧暦のお盆,chuseok
1464,추억,思い出,chueok
1465,축구,サッカー,chukgu
1466,축제,祝祭、お祭り,chukje
1467,축하,祝賀,chukha
1468,축하하다,祝う,chukhahada
1469,축하합니다,おめでとうございます,chukhahapnida
1470,출구,出口,chulgu
1471,출근하다,出勤する,chulgeunhada
1472,출발,出発,chulbal
1473,출발하다,出発する,chulbalhada
1474,출장,出張,chuljang
1475,춤,踊り、ダンス,chum
1476,춤추다,踊りを踊る,chumchuda
1477,춥다,寒い,chupda
1478,취미,趣味,chwimi
1479,취소하다,取り消す,chwisohada
1480,취직하다,就職する,chwijikhada
1481,층,～階,cheung
1482,치과,歯科,chigwa
1483,치료하다,治療する,chiryohada
1484,치마,スカート,chima
1485,치약,歯磨き粉,chiyak
1486,친구,友達,chingu
1487,친절하다,親切だ,chinjeolhada
1488,친척,親戚,chincheok
1489,친하다,親しい,chinhada
1490,칠,7,chil
1491,칠십,70,chilsip
1492,칠월,７月,chirwol
1493,칠판,黒板,chilpan
1494,침대,ベッド、寝台,chimdae
1495,칫솔,歯ブラシ,chitsol
1496,카드,カード,kadeu
1497,카레,カレー,kare
1498,카메라,カメラ,kamera
1499,카페,カフェ、喫茶店,kape
1500,칼,刃物、刀、包丁,kal
1501,캐나다,カナダ,kaenada
1502,커피,コーヒー,keopi
1503,커피숍,喫茶店,keopisyop
1504,컴퓨터,コンピューター、パソコン,keompyuteo
1505,컵,カップ,keop
1506,케이크,ケーキ,keikeu
1507,켜다,つける、入れる,kyeoda
1508,코,鼻,ko
1509,코트,コート,koteu
1510,코피,鼻血,kopi
1511,콜라,コーラ,kolla
1512,콧노래,鼻歌,kotnorae
1513,콧물,鼻水,kotmul
1514,콩,豆、大豆,kong
1515,크기,大きさ、サイズ,keugi
1516,크다,大きい,keuda
1517,크리스마스,クリスマス,keuriseumaseu
1518,큰아버지,伯父,keunabeoji
1519,큰어머니,伯母,keuneomeoni
1520,키,背、身長,ki
1521,킬로그램,キログラム,killogeuraem
1522,킬로미터,キロメートル,killomiteo
1523,타다,乗る,tada
1524,타월,タオル,tawol
1525,탁구,卓球、ピンポン,takgu
1526,태국,タイ,taeguk
1527,태권도,テコンドー,taegwondo
1528,태어나다,うまれる,taeeonada
1529,태풍,台風,taepung
1530,택시,タクシー,taeksi
1531,탤런트,タレント、芸能人,taelleonteu
1532,터미널,ターミナル,teomineol
1533,테니스,テニス,teniseu
1534,테이블,テーブル,teibeul
1535,텔레비전,テレビ,tellebijeon
1536,토마토,トマト,tomato
1537,토요일,土曜日,toyoil
1538,통,～通,tong
1539,통장,通帳,tongjang
1540,통하다,通じる,tonghada
1541,퇴근하다,退社する、帰宅する,toegeunhada
1542,특별히,特別に,teukbyeolhi
1543,특징,特徴,teukjing
1544,특히,特に,teukhi
1545,틀다,スイッチを入れる,teulda
1546,틀리다,間違う,teullida
1547,티셔츠,Ｔシャツ,tisyeocheu
1548,팀,チーム,tim
1549,パ,ねぎ,パ
1550,파란색,青色、青,paransaek
1551,파랗다,青い,paratda
1552,파티,パーティ,pati
1553,팔,腕、８,pal
1554,팔다,売る,palda
1555,팔리다,売れる,pallida
1556,팔십,80,palsip
1557,팔월,８月,parwol
1558,패션,ファッション,paesyeon
1559,퍼센트,パーセント,peosenteu
1560,페이지,ページ,peiji
1561,펜,ペン,pen
1562,펴다,広げる、伸ばす,pyeoda
1563,편,～編,pyeon
1564,편지,手紙,pyeonji
1565,편하다,楽だ、気楽だ、便利だ,pyeonhada
1566,평양,ピョンヤン,pyeongyang
1567,평일,平日,pyeongil
1568,포도,ぶどう,podo
1569,포장,包装、荷造り,pojang
1570,표,券、チケット,pyo
1571,표현,表現,pyohyeon
1572,푹,ぐっすり,puk
1573,풀,草,pul
1574,풀다,解く,pulda
1575,프랑스,フランス,peurangseu
1576,프로그램,プログラム,peurogeuraem
1577,프린트,プリント,peurinteu
1578,피,血,pi
1579,피곤하다,疲れる,pigonhada
1580,피다,咲く,pida
1581,피아노,ピアノ,piano
1582,피우다,咲かせる,piuda
1583,피자,ピザ,pija
1584,필름,フィルム,pilleum
1585,필요,必要,piryo
1586,필요하다,必要だ,piryohada
1587,필통,筆箱、筆入れ,piltong
1588,하나,1,hana
1589,하늘,空,haneul
1590,하늘색,空色、水色,haneulsaek
1591,하다,する、言う,hada
1592,하루,１日,haru
1593,하숙,下宿,hasuk
1594,하숙집,下宿屋,hasukjip
1595,하얀색,白色、白,hayansaek
1596,하얗다,白い,hayatda
1597,하지만,しかし、けれど,hajiman
1598,학,つる,hak
1599,학교,学校,hakgyo
1600,학기,学期,hakgi
1601,학년,学年,haknyeon
1602,학생,学生,haksaeng
1603,학생증,学生証,haksaengjeung
1604,학원,塾,hagwon
1605,한,１つの～,han
1606,한강,ハンガン,hangang
1607,한국,韓国,hanguk
1608,한국드라마,韓国ドラマ,hangukdeurama
1609,한국말,韓国語,hangukmal
1610,한국사람,韓国人,hanguksaram
1611,한국어,韓国語,hangugeo
1612,한국요리,韓国料理,hangugyori
1613,한글,ハングル,hangeul
1614,한번,一回、一度,hanbeon
1615,한복,韓服,hanbok
1616,한식,韓国料理,hansik
1617,한자,漢字,hanja
1618,할머니,祖母,halmeoni
1619,할아버지,祖父,harabeoji
1620,할인,割引,harin
1621,함께,一緒に、共に,hamkke
1622,합격,合格,hapgyeok
1623,항상,いつも、常に,hangsang
1624,해,陽、太陽,hae
1625,해외,海外,haeoe
1626,해외여행,海外旅行,haeoeyeohaeng
1627,핸드폰,携帯電話,haendeupon
1628,햄버거,ハンバーガー,haembeogeo
1629,햇빛,日光、日差し,haetbit
1630,행복,幸福、幸せ,haengbok
1631,행복하다,幸せだ、幸福だ,haengbokhada
1632,행사,行事,haengsa
1633,허리,腰,heori
1634,현금,現金,hyeongeum
1635,현재,現在,hyeonjae
1636,형,兄,hyeong
1637,형님,お兄様,hyeongnim
1638,형제,兄弟,hyeongje
1639,호,～号,ho
1640,호랑이,虎,horangi
1641,호주,オーストラリア、豪州,hoju
1642,호텔,ホテル,hotel
1643,혼자,独り,honja
1644,홈페이지,ホームページ,hompeiji
1645,홍차,紅茶,hongcha
1646,화,怒り,hwa
1647,화가,画家,hwaga
1648,화나다,怒る、腹が立つ,hwanada
1649,화내다,怒る、腹を立てる,hwanaeda
1650,화요일,火曜日,hwayoil
1651,화장실,トイレ、化粧室,hwajangsil
1652,화장품,化粧品,hwajangpum
1653,화장하다,化粧する,hwajanghada
1654,확인하다,確認する,hwaginhada
1655,환영하다,歓迎する,hwanyeonghada
1656,환자,患者,hwanja
1657,회사,会社,hoesa
1658,회사원,会社員,hoesawon
1659,회색,灰色,hoesaek
1660,회의,会議,hoeui
1661,횡단보도,横断歩道,hoengdanbodo
1662,후,～後,hu
1663,후배,後輩,hubae
1664,휴가,休暇,hyuga
1665,휴대전화,携帯電話,hyudaejeonhwa
1666,휴일,休日,hyuil
1667,휴지,ちり紙、トイレットペーパー,hyuji
1668,휴지통,ゴミ箱,hyujitong
1669,흐리다,曇る,heurida
1670,흰색,白色、白,huinsaek
1671,힘,力,him
