No.,ハングル,日本語意味,alphabet(読み方)
816,몸무게,体重,mommuge
817,몸짓,身振り、ジャスチャー,momjit
818,몹시,とても、たいへん、ひどく,mopsi
819,못생기다,ぶさいくだ、醜い,motsaenggida
820,무게,重さ,muge
821,무관심,無関心,mugwansim
822,무너지다,崩れる,muneojida
823,무늬,柄、模様,munui
824,무대,舞台、ステージ,mudae
825,무더위,蒸し暑さ,mudeowi
826,무덤,墓,mudeom
827,무덥다,蒸し暑い,mudeopda
828,무렵,頃,muryeop
829,무사히,無事に,musahi
830,무서워하다,怖い,museowohada
831,무선,無線,museon
832,무소식,便りのないこと,musosik
833,무시,無視,musi
834,무인,無人,muin
835,무조건,無条件,mujogeon
836,무지개,虹,mujigae
837,무통장  입금,電子振込、ATM入金,mutongjang  ipgeum
838,묵다,泊まる,mukda
839,묶다,束ねる、縛る,mukda
840,문구,文具、文房具,mungu
841,문명,文明,munmyeong
842,문법,文法,munbeop
843,문병,お見舞い,munbyeong
844,문서,文書,munseo
845,문의,問い合わせ,munui
846,문자,文字、SMS、ショートメッセージ,munja
847,문제점,問題点,munjejeom
848,문학,文学,munhak
849,문화생활,文化的な生活,munhwasaenghwal
850,문화유산,文化遺産,munhwayusan
851,문화적,文化的,munhwajeok
852,묻히다,つける、まぶす,muthida
853,물가,物価,mulga
854,물고기,魚,mulgogi
855,물냉면,水冷麺,mulnaengmyeon
856,물다,咬む、口にくわえる,mulda
857,물러서다,後退する,mulreoseoda
858,물려주다,譲る、譲り渡す,mulryeojuda
859,물리다,飽きる、噛まれる,mulrida
860,물방울,水玉,mulbangul
861,물약,飲み薬、水薬,muryak
862,물음,問い,mureum
863,물질,物質,muljil
864,물품,物品,mulpum
865,뮤지컬,ミュージカル,myujikeol
866,미끄러지다,滑る,mikkeureojida
867,미끄럽다,つるつるしている、滑りやすい,mikkeureopda
868,미루다,延ばす,miruda
869,미소,微笑み,miso
870,미역,ワカメ,miyeok
871,미역국,ワカメスープ,miyeokguk
872,미용사,美容師,miyongsa
873,미인,美人,miin
874,미치다,及ぶ、及ぼす,michida
875,미팅,合コン,miting
876,미혼,未婚,mihon
877,민박,民宿、民泊,minbak
878,민속,民俗,minsok
879,민속놀이,民俗遊び,minsoknori
880,민요,民謡,minyo
881,민족,民族,minjok
882,믿다,信じる,mitda
883,믿음,信頼、信仰,mideum
884,믿음직스럽다,頼もしい、信頼できる,mideumjikseureopda
885,믿음직하다,頼もしい,mideumjikhada
886,밀다,押す,milda
887,밀려오다,押し寄せてくる,milryeooda
888,밀리미터,ミリメートル,milrimiteo
889,밉다,憎い、醜い,mipda
890,및,および,mit
891,밑줄,下線,mitjul
892,바가지,ひょうたん,bagaji
893,바구니,かご,baguni
894,바깥,外、屋外、表,bakkat
895,바느질,針仕事,baneujil
896,바늘,針,baneul
897,바닥,底、床,badak
898,바닥나다,底をつく,badaknada
899,바닷물,海水,badatmul
900,바둑,囲碁,baduk
901,바라보다,見渡す、眺める,baraboda
902,바보,馬鹿,babo
903,바위,岩,bawi
904,바이러스,ウイルス,baireoseu
905,바퀴,ホイール、車輪,bakwi
906,바탕,基礎、土台、素地,batang
907,박사,博士,baksa
908,박스,ボックス,bakseu
909,반가워하다,懐かしがる,bangawohada
910,반납,返却,bannap
911,반납일,返却日,bannabil
912,반대,反対,bandae
913,반대말,反対語,bandaemal
914,반대쪽,反対側,bandaejjok
915,반드시,必ず,bandeusi
916,반말,タメ口,banmal
917,반복,反復、リピート,banbok
918,반성,反省,banseong
919,반응,反応,baneung
920,반짝반짝,ぴかぴか,banjjakbanjjak
921,반짝이다,きらめく、輝く,banjjagida
922,반품,返品,banpum
923,반하다,惚れる,banhada
924,받아들이다,受け入れる,badadeurida
925,발걸음,足どり,balgeoreum
926,발견,発見,balgyeon
927,발급,発給,balgeup
928,발달,発達,baldal
929,발레,バレエ,balre
930,발명,発明,balmyeong
931,발목,足首,balmok
932,발생,発生,balsaeng
933,발자국,足跡,baljaguk
934,발표자,発表者,balpyoja
935,발표회,発表会,balpyohoe
936,밝히다,明らかにする,bakhida
937,밟다,踏む,balda
938,밤새,夜の間,bamsae
939,밤새우다,徹夜する,bamsaeuda
940,밥그릇,ご飯茶碗,bapgeureut
941,밥맛,ご飯の味、食欲,bapmat
942,밥상,お膳,bapsang
943,방금,たった今,banggeum
944,방문,訪問,bangmun
945,방송사,放送会社、放送社,bangsongsa
946,방식,方式,bangsik
947,방청객,傍聴人,bangcheonggaek
948,방해,妨害、じゃま,banghae
949,방향,方向,banghyang
950,밭,畑,bat
951,배경,背景,baegyeong
952,배꼽,へそ,baekkop
953,배낭,リュックサック,baenang
954,배낭여행,バックパック旅行,baenangyeohaeng
955,배려,配慮,baeryeo
956,배우자,配偶者,baeuja
957,배추,白菜,baechu
958,배터리,バッテリー,baeteori
959,뱀,蛇,baem
960,뱉다,吐きだす,baetda
961,버릇,癖、礼儀作法,beoreut
962,버릇없다,行儀が悪い、わがままだ,beoreuseopda
963,버섯,きのこ,beoseot
964,버튼,ボタン,beoteun
965,번역,翻訳,beonyeok
966,번호표,番号表,beonhopyo
967,벌금,罰金,beolgeum
968,벌리다,あける、広げる,beolrida
969,벌집,蜂の巣,beoljip
970,범위,範囲,beomwi
971,범인,犯人,beomin
972,범죄,犯罪,beomjoe
973,법,法律、法,beop
974,법원,裁判所,beobwon
975,벗기다,脱がせる、取れる,beotgida
976,벗어나다,抜け出す、それる,beoseonada
977,베개,枕,begae
978,벨,ベル,bel
979,벨트,ベルト,belteu
980,벼,稲,byeo
981,벼락,雷,byeorak
982,벼룩시장,フリーマーケット,byeoruksijang
983,벽걸이,壁掛け,byeokgeori
984,벽돌,煉瓦,byeokdol
985,변경,変更,byeongyeong
986,변기,トイレ,byeongi
987,변명,弁明、言い訳,byeonmyeong
988,변비,便秘,byeonbi
989,변하다,変わる,byeonhada
990,변화,変化,byeonhwa
991,별명,ニックネーム、あだ名、別名,byeolmyeong
992,별일,変わったこと、別ごと,byeoril
993,병문안,お見舞い,byeongmunan
994,보고,報告,bogo
995,보고서,レポート、報告書,bogoseo
996,보고회,報告会,bogohoe
997,보관,保管,bogwan
998,보관실,保管室,bogwansil
999,보기,見本、例,bogi
1000,보너스,ボーナス,boneoseu
1001,보람,やりがい、甲斐,boram
1002,보름,陰暦の十五日,boreum
1003,보름달,満月、十五夜の月,boreumdal
1004,보물,宝物,bomul
1005,보살피다,面倒を見る,bosalpida
1006,보약,強壮剤、補薬,boyak
1007,보증금,保証金、敷金,bojeunggeum
1008,보충,補充,bochung
1009,보험,保険,boheom
1010,보험금,保険金,boheomgeum
1011,보험료,保険料,boheomryo
1012,보호,保護,boho
1013,복,福,bok
1014,복권,宝くじ,bokgwon
1015,복날,ポンナル、滋養食を食べる日,boknal
1016,복도,廊下,bokdo
1017,복사,複写、コピー,boksa
1018,복사기,コピー機,boksagi
1019,복습,復習,bokseup
1020,복통,腹痛,boktong
1021,본론,本論,bonron
1022,본문,本文,bonmun
1023,볼거리,見どころ,bolgeori
1024,볼륨,ボリューム,bolryum
1025,볼링,ボーリング,bolring
1026,볼링장,ボーリング場,bolringjang
1027,볼일,用事,boril
1028,봉사,ボランティア、奉仕,bongsa
1029,봉사자,奉仕者,bongsaja
1030,부끄러워하다,恥ずかしがる,bukkeureowohada
1031,부끄럽다,恥ずかしい,bukkeureopda
1032,부담,負担、負い目,budam
1033,부딪치다,ぶつかる,buditchida
1034,부딪히다,ぶつかる、直面する,budithida
1035,부러워하다,うらやむ,bureowohada
1036,부러지다,折れる,bureojida
1037,부럽다,うらやましい,bureopda
1038,부분,部分,bubun
1039,부사,副詞,busa
1040,부상,負傷、けが,busang
1041,부상자,負傷者,busangja
1042,부서,部署,buseo
1043,부서지다,壊れる,buseojida
1044,부자,金持ち,buja
1045,부작용,副作用,bujagyong
1046,부잣집,金持ちの家,bujatjip
1047,부정적,否定的,bujeongjeok
1048,부족,不足,bujok
1049,부주의,不注意,bujuui
1050,부지런히,熱心に,bujireonhi
1051,부채,うちわ、扇子,buchae
1052,부케,ブーケ,buke
1053,부피,大きさ,bupi
1054,분량,分量,bunryang
1055,분리,分離,bunri
1056,분리수거,分別収集,bunrisugeo
1057,분명하다,明らかだ、はっきりしている,bunmyeonghada
1058,분명히,明確に,bunmyeonghi
1059,분실,紛失,bunsil
1060,분실물,忘れ物,bunsilmul
1061,분홍색,ピンク色,bunhongsaek
1062,불가능,不可能,bulganeung
1063,불가능하다,不可能である,bulganeunghada
1064,불경기,不景気,bulgyeonggi
1065,불교,仏教,bulgyo
1066,불규칙,不規則,bulgyuchik
1067,불꽃놀이,花火遊び、花火見物,bulkkotnori
1068,불량,不良,bulryang
1069,불만,不満,bulman
1070,불면증,不眠症,bulmyeonjeung
1071,불법,不法、違法,bulbeop
1072,불빛,炎、あかり,bulbit
1073,불쌍하다,哀れだ,bulssanghada
1074,불안,不安,buran
1075,불안감,不安感,burangam
1076,불어나다,増える、増す,bureonada
1077,불친절,不親切,bulchinjeol
1078,불태우다,燃やす,bultaeuda
1079,불편,不便,bulpyeon
1080,불평,不平,bulpyeong
1081,불필요,不要、不必要,bulpiryo
1082,불행,不幸,bulhaeng
1083,붉다,赤い,bukda
1084,붐비다,込み合う,bumbida
1085,붕어빵,たい焼き,bungeoppang
1086,붙잡다,捕まえる,butjapda
1087,붙잡히다,捕まる,butjaphida
1088,뷔페,ビュッフェ,bwipe
1089,브랜드,ブランド,beuraendeu
1090,브레이크,ブレーキ,beureikeu
1091,블라인드,ブラインド,beulraindeu
1092,블로그,ブログ,beulrogeu
1093,비교,比較,bigyo
1094,비교적,比較的,bigyojeok
1095,비닐,ビニール,binil
1096,비다,空いている,bida
1097,비디오카메라,ビデオカメラ,bidiokamera
1098,비록,たとえ～でも,birok
1099,비만,肥満,biman
1100,비바람,雨風,bibaram
1101,비비다,こする、揉む、混ぜる,bibida
1102,비빔냉면,ビビン冷麺,bibimnaengmyeon
1103,비상약,常備薬、非常用の薬,bisangyak
1104,비용,費用,biyong
1105,비우다,空にする、空ける,biuda
1106,비자,ビザ,bija
1107,비추다,照らす,bichuda
1108,비타민,ビタミン,bitamin
1109,비하다,比べる,bihada
1110,빗길,雨の道,bitgil
1111,빚,借金,bit
1112,빛,光,bit
1113,빠뜨리다,落とす,ppatteurida
1114,빠지다,落ちる、抜ける,ppajida
1115,빠짐없이,もれなく、抜かりなく,ppajimeopsi
1116,빨개지다,赤くなる,ppalgaejida
1117,빼앗기다,奪われる,ppaeatgida
1118,빼앗다,奪う,ppaeatda
1119,뺨,頬,ppyam
1120,뻔하다,確かだ、自明だ,ppeonhada
1121,뻗다,伸びる,ppeotda
1122,뽑다,抜く、選ぶ,ppopda
1123,뿌리,根,ppuri
1124,뿌리다,振りまく,ppurida
1125,사건,事件,sageon
1126,사고방식,考え方,sagobangsik
1127,사교적,社交的,sagyojeok
1128,사귀다,付き合う、交わる,sagwida
1129,사라지다,消える,sarajida
1130,사로잡다,捕える,sarojapda
1131,사막,砂漠,samak
1132,사망,死亡,samang
1133,사망자,死亡者、死者,samangja
1134,사모님,奥様,samonim
1135,사무소,事務所,samuso
1136,사생활,私生活、プライベート,sasaenghwal
1137,사슴,鹿,saseum
1138,사실,事実,sasil
1139,사업,事業,saeop
1140,사용료,使用料,sayongryo
1141,사용법,使用法,sayongbeop
1142,사우나,サウナ,sauna
1143,사은품,景品、おまけ,saeunpum
1144,사이버,サイバー,saibeo
1145,사이좋다,仲が良い,saijota
1146,사이트,サイト,saiteu
1147,사정,事情,sajeong
1148,사진관,写真館,sajingwan
1149,사진첩,写真アルバム,sajincheop
1150,사춘기,思春期,sachungi
1151,사투리,訛り、方言,saturi
1152,사표,辞表,sapyo
1153,사회,社会,sahoe
1154,사회생활,社会生活,sahoesaenghwal
1155,사회자,司会者,sahoeja
1156,사회적,社会的,sahoejeok
1157,산꼭대기,山頂,sankkokdaegi
1158,산더미,山積み、山盛り,sandeomi
1159,산부인과,産婦人科,sanbuingwa
1160,산불,山火事,sanbul
1161,산업,産業,saneop
1162,산책로,散策路,sanchaekro
1163,살리다,生かす,salrida
1164,살림,暮らし,salrim
1165,살아가다,生きていく,saragada
1166,살아나다,助かる,saranada
1167,살아남다,生き延びる,saranamda
1168,살아오다,生きてくる,saraoda
1169,살인,殺人,sarin
1170,살짝,こっそり、そっと、静かに,saljjak
1171,살찌다,太る、肉が付く,saljjida
1172,살펴보다,探る、観察する、注意してみる,salpyeoboda
1173,살피다,調べる、探る,salpida
1174,삶,暮し、人生、生,sam
1175,삶다,ゆでる,samda
1176,삼겹살,サムギョプサル,samgyeopsal
1177,삼일절,3.1節,samiljeol
1178,삼키다,飲み込む,samkida
1179,상,相,sang
1180,상가,商店街,sangga
1181,상관없다,気にしない,sanggwaneopda
1182,상관없이,関係なく,sanggwaneopsi
1183,상금,賞金,sanggeum
1184,상담,相談,sangdam
1185,상담실,相談室,sangdamsil
1186,상담원,エージェント、相談員,sangdamwon
1187,상담자,相談者,sangdamja
1188,상당히,かなり,sangdanghi
1189,상대,相手,sangdae
1190,상대방,相手,sangdaebang
1191,상대편,相手方,sangdaepyeon
1192,상상,想像,sangsang
1193,상상력,想像力,sangsangryeok
1194,상승,上昇,sangseung
1195,상식,常識,sangsik
1196,상업,商業,sangeop
1197,상업적,商業的,sangeopjeok
1198,상인,商人,sangin
1199,상점,商店,sangjeom
1200,상징,象徴,sangjing
1201,상쾌하다,さわやかだ、爽快だ,sangkwaehada
1202,상태,状態,sangtae
1203,상표,商標、ラベル,sangpyo
1204,상품권,商品券,sangpumgwon
1205,상하다,傷む、（食べ物などが）腐る,sanghada
1206,상황,状況,sanghwang
1207,새다,夜が明ける、夜明かしをする,saeda
1208,새롭다,新しい,saeropda
1209,새어머니,継母,saeeomeoni
1210,새우다,夜を明かす,saeuda
1211,새치기,割り込み,saechigi
1212,새해,新年,saehae
1213,색다르다,風変りだ,saekdareuda
1214,색상,色相,saeksang
1215,생각나다,思い出す,saenggaknada
1216,생강차,生姜茶,saenggangcha
1217,생겨나다,生じる,saenggyeonada
1218,생김새,見かけ,saenggimsae
1219,생략,省略,saengryak
1220,생머리,ストレート,saengmeori
1221,생명,命,saengmyeong
1222,생산,生産,saengsan
1223,생생하다,新鮮だ、生々しい,saengsaenghada
1224,생중계,生放送,saengjunggye
1225,생필품,生活必需品,saengpilpum
1226,생활비,生活費,saenghwalbi
1227,생활수준,生活水準,saenghwalsujun
1228,서너,三・四,seoneo
1229,서두르다,急ぐ、焦る,seodureuda
1230,서랍,引き出し,seorap
1231,서론,序論,seoron
1232,서명,署名,seomyeong
1233,서부,西部,seobu
1234,서빙,サービング,seobing
1235,서서히,徐々に,seoseohi
1236,서운하다,名残惜しい,seounhada
1237,서투르다,下手だ,seotureuda
1238,석사,修士,seoksa
1239,석식,夕食,seoksik
1240,석유,石油,seogyu
1241,석탄,石炭,seoktan
1242,섞다,混ぜる,seokda
1243,선,線,seon
1244,선글라스,サングラス,seongeulraseu
1245,선선하다,涼しい,seonseonhada
1246,선진국,先進国,seonjinguk
1247,선착순,先着順,seonchaksun
1248,설,説,seol
1249,설득,説得,seoldeuk
1250,설마,まさか,seolma
1251,설명서,マニュアル、説明書,seolmyeongseo
1252,설문조사,アンケート,seolmunjosa
1253,설문지,アンケート,seolmunji
1254,설사,例え、下痢,seolsa
1255,섭섭하다,名残惜しい、寂しい,seopseophada
1256,성공,成功,seonggong
1257,성능,性能,seongneung
1258,성당,聖堂,seongdang
1259,성명,声明,seongmyeong
1260,성별,性別,seongbyeol
1261,성실,誠実,seongsil
1262,성인,成人,seongin
1263,성인병,成人病,seonginbyeong
1264,성적,成績,seongjeok
1265,성적표,成績表,seongjeokpyo
1266,성형,整形,seonghyeong
1267,세계적,世界的,segyejeok
1268,세금,税金,segeum
1269,세기,世紀,segi
1270,세다,数える,seda
1271,세대,世代,sedae
1272,세련,洗練,seryeon
1273,세면대,洗面台,semyeondae
1274,세면도구,洗面道具,semyeondogu
1275,세미나,セミナー,semina
1276,세배,トリプル、3倍,sebae
1277,세뱃돈,お年玉,sebaetdon
1278,세상,世界,sesang
1279,세월,歳月,sewol
1280,세제,洗剤,seje
1281,세탁물,洗濯物,setakmul
1282,셔츠,シャツ,syeocheu
1283,셔틀버스,シャトルバス,syeoteulbeoseu
1284,소감,所感、感想,sogam
1285,소개팅,合コン,sogaeting
1286,소규모,小規模,sogyumo
1287,소극장,小劇場,sogeukjang
1288,소극적,消極的,sogeukjeok
1289,소나기,夕立,sonagi
1290,소년,少年,sonyeon
1291,소득,所得,sodeuk
1292,소망,希望,somang
1293,소매,袖,somae
1294,소매치기,すり,somaechigi
1295,소문,うわさ、評判,somun
1296,소방관,消防官,sobanggwan
1297,소방서,消防署,sobangseo
1298,소방차,消防車,sobangcha
1299,소비,消費,sobi
1300,소비자,消費者,sobija
1301,소설책,小説,soseolchaek
1302,소수,少数,sosu
1303,소스,ソース,soseu
1304,소심하다,小心である,sosimhada
1305,소용,使い道,soyong
1306,소용없다,無駄だ、役に立たない,soyongeopda
1307,소원,念願、願い,sowon
1308,소음,騒音,soeum
1309,소주,焼酎,soju
1310,소중하다,大事だ,sojunghada
1311,소중히,大切に,sojunghi
1312,소화,消化,sohwa
1313,속다,だまされる,sokda
1314,속담,ことわざ,sokdam
1315,속도,速度,sokdo
1316,속도위반,速度違反,sokdowiban
1317,속력,スピード、速力,sokryeok
1318,속상하다,しゃくにさわる、気に障る,soksanghada
1319,속옷,下着,sogot
1320,속이다,あざむく、だます,sogida
1321,손바닥,手のひら,sonbadak
1322,손발,手足,sonbal
1323,손쉽다,たやすい,sonswipda
1324,손자,男の孫,sonja
1325,손잡이,手すり、取っ手,sonjabi
1326,손질,手入れ,sonjil
1327,솔직하다,率直である,soljikhada
1328,솔직히,率直に言って,soljikhi
1329,솜씨,手並み、手際,somssi
1330,송금,送金,songgeum
1331,쇠,鉄、金物、錠,soe
1332,쇠고기,牛肉,soegogi
1333,쇼,ショー,syo
1334,쇼핑몰,ショッピングモール,syopingmol
1335,쇼핑백,ショッピングバッグ,syopingbaek
1336,쇼핑센터,ショッピングセンター,syopingsenteo
1337,수거,回収,sugeo
1338,수고,苦労,sugo
1339,수단,手段,sudan
1340,수도꼭지,水道の蛇口,sudokkokji
1341,수량,数量,suryang
1342,수료식,修了式,suryosik
1343,수리,受理、修理,suri
1344,수리비,修理費,suribi
1345,수면,睡眠,sumyeon
1346,수면제,睡眠薬,sumyeonje
1347,수명,寿命,sumyeong
1348,수산물,水産物,susanmul
1349,수상,首相,susang
1350,수선,修繕,suseon
1351,수선하다,修理する、修繕する,suseonhada
1352,수수료,手数料,susuryo
1353,수입,収入、輸入,suip
1354,수정,修正、水晶,sujeong
1355,수준,レベル,sujun
1356,수집,収集、コレクション,sujip
1357,수출,輸出,suchul
1358,수표,小切手,supyo
1359,수학여행,修学旅行,suhagyeohaeng
1360,숙녀복,婦人服,suknyeobok
1361,숙박,宿泊,sukbak
1362,숙박비,宿泊費,sukbakbi
1363,숙소,宿,sukso
1364,숙이다,下げる、うなだれる,sugida
1365,순간,瞬間,sungan
1366,순두부찌개,スンドゥブチゲ,sundubujjigae
1367,술자리,飲み会,suljari
1368,술잔,盃,suljan
1369,술집,バー,suljip
1370,숨기다,隠す,sumgida
1371,숨다,隠れる,sumda
1372,숫자,数字,sutja
1373,숲,森、林,sup
1374,스님,お坊さん,seunim
1375,스스로,自ら、自分で、自然と,seuseuro
1376,스캐너,スキャナー,seukaeneo
1377,스타일,スタイル,seutail
1378,스티커,シール、ステッカー,seutikeo
1379,스프,スープ,seupeu
1380,스피커,スピーカー,seupikeo
1381,슬리퍼,スリッパ,seulripeo
1382,슬픔,悲しみ,seulpeum
1383,습기,湿気,seupgi
1384,습도,湿度,seupdo
1385,승강기,エレベーター,seungganggi
1386,승객,乗客,seunggaek
1387,승리,勝利,seungri
1388,승용차,乗用車,seungyongcha
1389,승진,昇進,seungjin
1390,승차,乗車,seungcha
1391,시각,視覚,sigak
1392,시대,時代,sidae
1393,시도,試み,sido
1394,시력,視力,siryeok
1395,시리다,ひりひりする、しびれるほど冷たい,sirida
1396,시부모님,義理の両親,sibumonim
1397,시스템,システム,siseutem
1398,시아버지,舅、夫の父,siabeoji
1399,시어머니,姑、夫の母,sieomeoni
1400,시외버스,市外バス,sioebeoseu
1401,시인,詩人,siin
1402,시집,詩集、嫁入り先,sijip
1403,시집가다,嫁に行く、（女性が）結婚する,sijipgada
1404,시청각실,視聴覚室,sicheonggaksil
1405,시청자,視聴者,sicheongja
1406,시합,試合,sihap
1407,시험공부,試験勉強,siheomgongbu
1408,식,式、やり方、方法,sik
1409,식구,家族,sikgu
1410,식료품,食料品,sikryopum
1411,식물,植物,sikmul
1412,식물원,植物園,sikmurwon
1413,식비,食費,sikbi
1414,식생활,食生活,siksaenghwal
1415,식습관,食習慣,sikseupgwan
1416,식욕,食欲,sigyok
1417,식용유,食用油,sigyongyu
1418,식초,酢,sikcho
1419,식품,食品,sikpum
1420,식후,食後,sikhu
1421,신고,通報,singo
1422,신기다,履かせる,singida
1423,신기술,新技術,singisul
1424,신기하다,不思議だ、珍しい,singihada
1425,신나다,浮かれる、興がのる,sinnada
1426,신도시,新都市,sindosi
1427,신랑,新郎,sinrang
1428,신랑감,新郎候補,sinranggam
1429,신문사,新聞社,sinmunsa
1430,신문지,新聞紙,sinmunji
1431,신부,神父、新婦,sinbu
1432,신분증,身分証明書,sinbunjeung
1433,신상품,新商品,sinsangpum
1434,신선하다,新鮮だ,sinseonhada
1435,신세대,新世代,sinsedae
1436,신용,信用,sinyong
1437,신입생,新入生,sinipsaeng
1438,신제품,新製品,sinjepum
1439,신청자,申請者,sincheongja
1440,신체,身体、体,sinche
1441,신형,新型,sinhyeong
1442,신호,信号,sinho
1443,신혼,新婚,sinhon
1444,신혼부부,新婚夫婦,sinhonbubu
1445,신혼여행,新婚旅行,sinhonyeohaeng
1446,싣다,乗せる、積む,sitda
1447,실,糸,sil
1448,실내,室内,silnae
1449,실력,実力,silryeok
1450,실망,失望,silmang
1451,실시,実施,silsi
1452,실용적,実用的,siryongjeok
1453,실은,実は,sireun
1454,실제,実際,silje
1455,실제로,実際に,siljero
1456,실종,失踪,siljong
1457,실종자,失踪者、行方不明者,siljongja
1458,실천,実践,silcheon
1459,실컷,思う存分、飽きるほど,silkeot
1460,실크,シルク,silkeu
1461,실패,失敗,silpae
1462,실험,実験,silheom
1463,실험실,実験室,silheomsil
1464,싫증,飽き,silcheung
1465,심각하다,深刻だ,simgakhada
1466,심다,植える,simda
1467,심리학,心理学,simrihak
1468,심리학자,心理学者,simrihakja
1469,심부름,お使い,simbureum
1470,심심하다,退屈だ,simsimhada
1471,심장,心臓,simjang
1472,심장병,心臓病,simjangbyeong
1473,싱싱하다,みずみずしい、生き生きしている,singsinghada
1474,싱크대,シンク台,singkeudae
1475,싸구려,安物,ssaguryeo
1476,싸움,喧嘩,ssaum
1477,쌀쌀하다,肌寒い,ssalssalhada
1478,쌍둥이,双子,ssangdungi
1479,쌓다,積む、築く,ssata
1480,쏘다,射る、撃つ,ssoda
1481,쏟다,こぼす,ssotda
1482,쏟아지다,降り注ぐ、こぼれる、あふれる,ssodajida
1483,쑥스럽다,照れくさい,ssukseureopda
1484,쓰러지다,倒れる、床につく、滅びる,sseureojida
1485,쓰레기통,ごみ箱,sseuregitong
1486,쓸데없다,無用だ、使い道がない,sseuldeeopda
1487,쓸데없이,やたら,sseuldeeopsi
1488,쓸쓸하다,わびしい,sseulsseulhada
1489,씌우다,かぶせる、覆う,ssuiuda
1490,씨름,シルム（朝鮮の相撲）,ssireum
1491,씩씩하다,りりしい、たくましい,ssikssikhada
1492,아깝다,もったいない、惜しい,akkapda
1493,아끼다,節約する、惜しむ,akkida
1494,아나운서,アナウンサー,anaunseo
1495,아니,いや,ani
1496,아동,児童,adong
1497,아랫사람,目下の人,araetsaram
1498,아르바이트,アルバイト,areubaiteu
1499,아리랑,アリラン,arirang
1500,아무것,何,amugeot
1501,아무래도,どうにも、いずれにしても,amuraedo
1502,아무런,いかなる、何の,amureon
1503,아무리,いくら（～しても）,amuri
1504,아무튼,とにかく,amuteun
1505,아쉬움,心残り,aswium
1506,아쉽다,物足りない、心残りだ、望ましい,aswipda
1507,아이디,ユーザー名、ID,aidi
1508,아이디어,アイデア,aidieo
1509,아침저녁,朝晩,achimjeonyeok
1510,아픔,痛み,apeum
1511,악몽,悪夢,akmong
1512,악수,握手,aksu
1513,안개,霧,angae
1514,안과,眼科,angwa
1515,안내문,案内文,annaemun
1516,안내서,案内書,annaeseo
1517,안내소,案内所,annaeso
1518,안되다,うまく行かない,andoeda
1519,안방,居間,anbang
1520,안부,安否,anbu
1521,안색,顔色,ansaek
1522,안심,安心,ansim
1523,안약,目薬,anyak
1524,안전선,安全線,anjeonseon
1525,안주,おつまみ,anju
1526,안쪽,内側、奥,anjjok
1527,안타깝다,気の毒だ、ふびんだ、もどかしい,antakkapda
1528,앉히다,座らせる,anhida
1529,알,卵、玉,al
1530,알레르기,アレルギー,alrereugi
1531,알아듣다,理解する,aradeutda
1532,알아보다,調べる、探る、見分ける、認める,araboda
1533,알아주다,認める,arajuda
1534,알약,錠剤,aryak
1535,알코올,アルコール,alkool
1536,암,がん,am
1537,앞날,将来,apnal
1538,앞두다,控える、前にする,apduda
1539,앞뒤,前後,apdwi
1540,앞머리,前髪,apmeori
1541,애기,赤ちゃん,aegi
1542,애완견,愛犬、ペットの犬,aewangyeon
1543,애완동물,ペット,aewandongmul
1544,애인,恋人,aein
1545,애정,愛情,aejeong
1546,애프터서비스,アフターサービス,aepeuteoseobiseu
1547,액자,額縁,aekja
1548,앨범,アルバム,aelbeom
1549,야간,夜間,yagan
1550,야경,夜景,yagyeong
1551,야근,残業、夜勤,yageun
1552,야단맞다,叱られる,yadanmatda
1553,야단치다,叱りつける,yadanchida
1554,야외,野外,yaoe
1555,야유회,ピクニック,yayuhoe
1556,약하다,弱い,yakhada
1557,약혼,婚約,yakhon
1558,약혼자,婚約者、フィアンセ,yakhonja
1559,얌전하다,おとなしい,yamjeonhada
1560,양념,薬味だれ,yangnyeom
1561,양로원,老人ホーム,yangrowon
1562,양반,ヤンバン(朝鮮時代の官僚),yangban
1563,양보,譲歩,yangbo
1564,양쪽,両方,yangjjok
1565,얘,この子,yae
1566,어기다,破る、違反する,eogida
1567,어느새,いつのまにか,eoneusae
1568,어떠하다,どういうふうだ,eotteohada
1569,어떡하다,どうする,eotteokhada
1570,어려움,困難,eoryeoum
1571,어린아이,子供,eorinai
1572,어린이날,子供の日,eorininal
1573,어버이날,母の日,eobeoinal
1574,어색하다,ぎこちない,eosaekhada
1575,어쨌든,とにかく、いずれにせよ,eojjaetdeun
1576,어쩌다가,偶然に、ときどき,eojjeodaga
1577,어쩌면,どうすれば、どうして,eojjeomyeon
1578,어쩐지,なんか、やっぱり,eojjeonji
1579,어차피,どうせ、どっちみち、結局,eochapi
1580,어학,語学,eohak
1581,어학연수,語学研修,eohagyeonsu
1582,어휘,語彙,eohwi
1583,억,億,eok
1584,억양,アクセント,eogyang
1585,억지로,無理やり,eokjiro
1586,언론,言論,eonron
1587,언론인,ジャーナリスト,eonronin
1588,언어,言語,eoneo
1589,언젠가,いつか,eonjenga
1590,얻다,得る,eotda
1591,얻어먹다,おごってもらう,eodeomeokda
1592,얼다,凍る,eolda
1593,얼룩,染み、汚れ,eolruk
1594,얼른,早く、すぐ、すばやく,eolreun
1595,엄격하다,厳しい、厳格だ,eomgyeokhada
1596,엄청나다,途方もない、とんでもない,eomcheongnada
1597,업무,業務,eopmu
1598,없애다,なくす、処分する,eopsaeda
1599,엉덩이,お尻,eongdeongi
